Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17871,A Colder War (Great Science Fiction Stories),Charles Stross,"Stross, Charles",,"=""1884612482""","=""9781884612480""",3,4.15,Audiotext,Audio CD,,2005,2000,,2023/08/02,,,read,,,,1,0
13619116,Going Postal,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,"=""0060824697""","=""9780060824693""",5,4.40,HarperAudio,Audiobook,12,2005,2004,2023/08/01,2023/07/05,,,read,,,,1,0
62595513,"Season of Skulls (Laundry Files, #12; New Management, #3)",Charles Stross,"Stross, Charles",,"=""""","=""""",0,4.21,Tordotcom,Kindle Edition,376,2023,2023,,2023/08/01,to-read,to-read (#159),to-read,,,,0,0
40803091,The Psychology of Time Travel,Kate Mascarenhas,"Mascarenhas, Kate",,"=""""","=""""",4,3.70,Crooked Lane Books,Kindle Edition,336,2019,2018,2023/07/26,2023/07/22,,,read,,,,1,0
62703226,The Only One Left,Riley Sager,"Sager, Riley",,"=""0593183223""","=""9780593183229""",0,4.14,Dutton,Hardcover,385,2023,2023,,2023/07/22,to-read,to-read (#158),to-read,,,,0,0
142144136,Bay Curious: Exploring the Hidden True Stories of the San Francisco Bay Area,Allen-Price,"Allen-Price, Allen-Price",,"=""1797216392""","=""9781797216393""",3,4.50,Chronicle Books LLC,Kindle Edition,256,2023,,2023/07/22,2023/07/10,,,read,,,,1,0
6309862,Time (Manifold #1),Stephen Baxter,"Baxter, Stephen",,"=""""","=""""",3,3.79,Del Rey,Kindle Edition,467,2003,1999,2023/07/16,2023/06/29,,,read,,,,1,0
25843439,"The Atlantis Plague (The Origin Mystery, #2)",A.G. Riddle,"Riddle, A.G.",,"=""""","=""""",3,3.98,Riddle Inc.,Paperback,432,2015,2013,2023/06/28,2023/06/17,,,read,,,,1,0
12917506,The Making of Prince of Persia,Jordan Mechner,"Mechner, Jordan",,"=""""","=""""",3,4.09,,Kindle Edition,332,2011,2011,2023/06/16,2023/06/14,,,read,,,,1,0
59423890,The Visitor: A Wild Cards Story,Mark  Lawrence,"Lawrence, Mark",,"=""""","=""""",5,4.46,,Kindle Edition,48,2021,2021,2023/06/17,2023/06/16,,,read,,,,1,0
49977581,Angels & Demons (Robert Langdon #1),Dan       Brown,"Brown, Dan",,"=""""","=""""",4,3.94,Atria Books,Kindle Edition,736,2005,2000,2023/06/14,2013/11/03,,,read,,,,1,0
